dataset,split_type,protocol,seed,train_fraction,comparison,left_model,right_model,metric,n_queries,mean_delta,ci_lower,ci_upper,ci_excludes_zero_positive
movielens_100k,item_cold,context_popularity,0,0.2,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.05369371722696536,0.025825066621725044,0.08661819334018492,True
movielens_100k,item_cold,context_popularity,1,0.2,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.03989974461279767,0.01791023643070784,0.06528875091916138,True
movielens_100k,item_cold,context_popularity,1,0.2,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.042496866319383694,0.019550476913561893,0.06882856318160213,True
movielens_100k,item_cold,context_popularity,2,0.2,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.030930332612810894,-0.05903465665687928,-0.0067840403420141105,False
movielens_100k,item_cold,context_popularity,2,0.2,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,-0.021024813389564544,-0.05049873821907631,0.0048098887388818385,False
movielens_100k,item_cold,context_popularity,0,0.5,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.004281941728536536,-0.03228181039318456,0.03973380098886199,False
movielens_100k,item_cold,context_popularity,0,0.5,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.025588151538630238,-0.017214000549088365,0.07065826607094963,False
movielens_100k,item_cold,context_popularity,1,0.5,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.03923580271274288,-0.07267534885394243,-0.007781471181206089,False
movielens_100k,item_cold,context_popularity,1,0.5,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,-0.03188545150577918,-0.07998260419832266,0.011412267156478606,False
movielens_100k,item_cold,context_popularity,2,0.5,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.03468906311536253,-0.06154772620121136,-0.011345169053690629,False
movielens_100k,item_cold,context_popularity,2,0.5,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.06715399881304675,0.035842252786346236,0.10111068889887628,True
movielens_100k,item_cold,context_popularity,0,1.0,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.044491445951507835,-0.075735071308317,-0.019800242879085363,False
movielens_100k,item_cold,context_popularity,0,1.0,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.072942246890173,0.041742696084986035,0.10831508818794718,True
movielens_100k,item_cold,context_popularity,1,1.0,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.009150161862137612,-0.012719913871081909,0.03231815751939374,False
movielens_100k,item_cold,context_popularity,1,1.0,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.004371718587888678,-0.038093334748272825,0.048511867920736126,False
movielens_100k,item_cold,context_popularity,2,1.0,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.028820906316574718,-0.005288926330796508,0.06689802622022792,False
movielens_100k,item_cold,context_popularity,2,1.0,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.08602486652223605,0.048931396467756065,0.12481401903650363,True
