phase2_group,dataset,split_type,protocol,mode,model,k,max_train_queries,max_test_queries,train_fraction,feature_set,tabpfn_version,seed_count,ndcg@10_mean,ndcg@10_std,recall@10_mean,recall@10_std,mrr_mean,mrr_std,hitrate@10_mean,hitrate@10_std,runtime_seconds_median,n_queries_median
primary,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,20,50,100,0.5,full,v2.5,3,0.9099187551172788,0.03269719201666329,0.9866666666666667,0.011547005383792533,0.8861190846190846,0.04112639596604839,0.9866666666666667,0.011547005383792533,10.904098958999384,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,20,100,100,1.0,full,v2.5,3,0.9689657213460978,0.013359553380869072,1.0,0.0,0.9585370370370371,0.018092725273405517,1.0,0.0,22.13285666698357,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,20,10,100,0.1,full,v2.5,3,0.7951347117911656,0.056082451293778965,0.9933333333333333,0.011547005383792509,0.7266547619047619,0.07085660982102376,0.9933333333333333,0.011547005383792509,4.617217834020266,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,20,20,100,0.2,full,v2.5,3,0.9520582701270982,0.047278627497041405,1.0,0.0,0.9357037037037038,0.06330521630578831,1.0,0.0,5.447814665996702,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,20,50,100,0.5,full,v2.5,3,0.9430385988696997,0.03572758597888022,1.0,0.0,0.9243703703703704,0.04741858953769987,1.0,0.0,9.128324166988024,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,20,100,100,1.0,full,v2.5,3,0.9852320241788229,0.007502906592226294,1.0,0.0,0.9804166666666666,0.010265570828962381,1.0,0.0,16.978165915992577,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,xgboost,20,10,100,0.1,full,v2.5,3,0.7712575905191233,0.1287326216051448,0.9733333333333333,0.03785938897200185,0.7089708532208533,0.15555056318800262,0.9733333333333333,0.03785938897200185,0.0313082920038141,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,xgboost,20,20,100,0.2,full,v2.5,3,0.8195190054938245,0.11120517774763856,0.9933333333333333,0.0057735026918962545,0.765719696969697,0.14681882923459091,0.9933333333333333,0.0057735026918962545,0.0344997080101165,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,xgboost,20,50,100,0.5,full,v2.5,3,0.84686776804782,0.021931042109066788,0.98,0.010000000000000009,0.8065536084286085,0.0317412990445063,0.98,0.010000000000000009,0.0459031669888645,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,xgboost,20,100,100,1.0,full,v2.5,3,0.9522033873673506,0.021876110447829764,0.9933333333333333,0.005773502691896279,0.9394419191919191,0.028701639500902886,0.9933333333333333,0.005773502691896279,0.0664233340066857,100.0
primary,movielens_100k,warm,context_popularity,pointwise,catboost,20,10,100,0.1,full,v2.5,3,0.4709677924232835,0.0,0.63,0.0,0.44397664379823815,0.0,0.63,0.0,0.222681957995519,100.0
primary,movielens_100k,warm,context_popularity,pointwise,catboost,20,20,100,0.2,full,v2.5,3,0.4944507620209484,0.0,0.64,0.0,0.47089494754471534,0.0,0.64,0.0,0.2332147909910418,100.0
primary,movielens_100k,warm,context_popularity,pointwise,catboost,20,50,100,0.5,full,v2.5,3,0.4778366659517383,0.0,0.67,0.0,0.4402918008633952,0.0,0.67,0.0,0.2420503750036005,100.0
primary,movielens_100k,warm,context_popularity,pointwise,catboost,20,100,100,1.0,full,v2.5,3,0.5022753684553574,0.0,0.69,0.0,0.4656893990082845,0.0,0.69,0.0,0.2725879159988835,100.0
primary,movielens_100k,warm,context_popularity,pointwise,tabpfn,20,10,100,0.1,full,v2.5,3,0.5137368098332147,0.0,0.62,0.0,0.504025871316506,0.0,0.62,0.0,5.188762000005227,100.0
primary,movielens_100k,warm,context_popularity,pointwise,tabpfn,20,20,100,0.2,full,v2.5,3,0.490993651878374,0.0,0.65,0.0,0.4632499311833677,0.0,0.65,0.0,6.412852958019357,100.0
primary,movielens_100k,warm,context_popularity,pointwise,tabpfn,20,50,100,0.5,full,v2.5,3,0.4812305350525057,0.0,0.65,0.0,0.4515240039028738,0.0,0.65,0.0,10.143903165997472,100.0
primary,movielens_100k,warm,context_popularity,pointwise,tabpfn,20,100,100,1.0,full,v2.5,3,0.5430812311777664,0.0,0.7399999999999999,0.0,0.5000197471946697,0.0,0.7399999999999999,0.0,21.44799079099903,100.0
