ndcg@10,recall@10,mrr,hitrate@10,n_queries,runtime_seconds,dataset,split_type,protocol,model,mode,status,tabpfn_version,k,max_train_queries,max_test_queries,seed,train_fraction,feature_set,phase2_group,source_path
1.0,1.0,1.0,1.0,50.0,4.652745375002269,amazon_baby_products,item_cold,global_popularity,tabpfn_native,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__item_cold__global_popularity__pointwise__tabpfn_native/amazon_baby_products/item_cold/results.csv
1.0,1.0,1.0,1.0,50.0,0.0677579999901354,amazon_baby_products,item_cold,global_popularity,xgboost,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__item_cold__global_popularity__pointwise__xgboost/amazon_baby_products/item_cold/results.csv
0.4925194039213356,0.72,0.443270634594164,0.72,50.0,0.2208038330136332,amazon_baby_products,warm,context_popularity,catboost,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__warm__context_popularity__pointwise__catboost/amazon_baby_products/warm/results.csv
0.5629516465694235,0.78,0.5119059530940335,0.78,50.0,86.06582887499826,amazon_baby_products,warm,context_popularity,tabpfn,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__warm__context_popularity__pointwise__tabpfn/amazon_baby_products/warm/results.csv
0.5696524427870279,0.82,0.5076382126645285,0.82,50.0,5.010987457993906,amazon_baby_products,warm,context_popularity,tabpfn_native,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__warm__context_popularity__pointwise__tabpfn_native/amazon_baby_products/warm/results.csv
0.4582582679247434,0.68,0.4144887869268674,0.68,50.0,0.1880804999964311,amazon_baby_products,warm,context_popularity,xgboost,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__warm__context_popularity__pointwise__xgboost/amazon_baby_products/warm/results.csv
0.9663092975357144,0.98,0.9640384615384616,0.98,50.0,0.1799850839888677,amazon_baby_products,warm,global_popularity,catboost,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__warm__global_popularity__pointwise__catboost/amazon_baby_products/warm/results.csv
0.9766666666666666,1.0,0.9695238095238096,1.0,50.0,19.0982086660224,amazon_baby_products,warm,global_popularity,tabpfn,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__warm__global_popularity__pointwise__tabpfn/amazon_baby_products/warm/results.csv
0.97314474365544,1.0,0.9655555555555556,1.0,50.0,4.609912333020475,amazon_baby_products,warm,global_popularity,tabpfn_native,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__warm__global_popularity__pointwise__tabpfn_native/amazon_baby_products/warm/results.csv
0.9657812965263576,0.98,0.9635384615384616,0.98,50.0,0.0685901670076418,amazon_baby_products,warm,global_popularity,xgboost,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__warm__global_popularity__pointwise__xgboost/amazon_baby_products/warm/results.csv
0.9087096569156446,0.99,0.8833333333333333,0.99,100.0,37.84177216599346,movielens_100k,item_cold,context_popularity,tabpfn,pointwise,ok,v2.5,20,100,100,0,1.0,full,feature_group_ablation,paper/results_phase2_pointwise_runs/feature_group_ablation/feature_set_full/seed_000/movielens_100k__item_cold__context_popularity__pointwise__tabpfn/movielens_100k/item_cold/results.csv
0.8642182109641368,0.95,0.8429348845598845,0.95,100.0,29.211878457979765,movielens_100k,item_cold,context_popularity,tabpfn_native,pointwise,ok,v2.5,20,100,100,0,1.0,full,feature_group_ablation,paper/results_phase2_pointwise_runs/feature_group_ablation/feature_set_full/seed_000/movielens_100k__item_cold__context_popularity__pointwise__tabpfn_native/movielens_100k/item_cold/results.csv
0.9547811458664504,1.0,0.9391666666666668,1.0,100.0,37.27545333301532,movielens_100k,item_cold,global_popularity,tabpfn,pointwise,ok,v2.5,20,100,100,0,1.0,full,feature_group_ablation,paper/results_phase2_pointwise_runs/feature_group_ablation/feature_set_full/seed_000/movielens_100k__item_cold__global_popularity__pointwise__tabpfn/movielens_100k/item_cold/results.csv
0.9782346581878776,1.0,0.9708333333333334,1.0,100.0,28.524355708999792,movielens_100k,item_cold,global_popularity,tabpfn_native,pointwise,ok,v2.5,20,100,100,0,1.0,full,feature_group_ablation,paper/results_phase2_pointwise_runs/feature_group_ablation/feature_set_full/seed_000/movielens_100k__item_cold__global_popularity__pointwise__tabpfn_native/movielens_100k/item_cold/results.csv
0.545614980469127,0.94,0.4252155801714625,0.94,100.0,44.67784654101706,movielens_100k,item_cold,context_popularity,tabpfn,pointwise,ok,v2.5,20,100,100,0,1.0,metadata_only,feature_group_ablation,paper/results_phase2_pointwise_runs/feature_group_ablation/feature_set_metadata_only/seed_000/movielens_100k__item_cold__context_popularity__pointwise__tabpfn/movielens_100k/item_cold/results.csv
0.5518693776324601,0.92,0.4386390821081223,0.92,100.0,17.519070500013186,movielens_100k,item_cold,context_popularity,tabpfn_native,pointwise,ok,v2.5,20,100,100,0,1.0,metadata_only,feature_group_ablation,paper/results_phase2_pointwise_runs/feature_group_ablation/feature_set_metadata_only/seed_000/movielens_100k__item_cold__context_popularity__pointwise__tabpfn_native/movielens_100k/item_cold/results.csv
0.6262827026950771,0.95,0.5233736998295823,0.95,100.0,34.101585999975214,movielens_100k,item_cold,global_popularity,tabpfn,pointwise,ok,v2.5,20,100,100,0,1.0,metadata_only,feature_group_ablation,paper/results_phase2_pointwise_runs/feature_group_ablation/feature_set_metadata_only/seed_000/movielens_100k__item_cold__global_popularity__pointwise__tabpfn/movielens_100k/item_cold/results.csv
0.6002714097555163,0.95,0.489886655011655,0.95,100.0,20.46565883400035,movielens_100k,item_cold,global_popularity,tabpfn_native,pointwise,ok,v2.5,20,100,100,0,1.0,metadata_only,feature_group_ablation,paper/results_phase2_pointwise_runs/feature_group_ablation/feature_set_metadata_only/seed_000/movielens_100k__item_cold__global_popularity__pointwise__tabpfn_native/movielens_100k/item_cold/results.csv
